기관코드,기관명,시도,시군구,법정동,주소,유형,정원,물리치료사,작업치료사,요양보호사,사회복지사,간호사,지정일
24613000374,소망재가노인복지센터,전라남도,여수시,율촌면,전라남도 여수시 율촌면 봉전길  1 (율촌면),방문요양·주야간보호,,0,0,6,1,0,20251201
24613000375,소라노인복지센터,전라남도,여수시,소라면,전라남도 여수시 소라면 덕양삼거리길  9 (소라면),방문요양·주야간보호,,0,0,28,4,0,20260101
24613000376,더함재가노인복지센터,전라남도,여수시,국동,전라남도 여수시 국포1로  82 3층 (국동),방문요양,,0,0,15,0,0,20260202
24613000377,해드림재가노인복지센터,전라남도,여수시,신월동,전라남도 여수시 신월로  591 2층 (신월동),방문요양,,0,0,27,0,0,20260202
24613000378,해바라기재가노인복지센터,전라남도,여수시,봉산동,전라남도 여수시 신월로  735 1층 (봉산동),방문요양,,0,0,25,1,0,20260202
24613000379,미평고운정주간보호센터,전라남도,여수시,미평동,"전라남도 여수시 양지1길  5 (미평동, 선경아파트)",주야간보호,,0,0,1,0,0,20260202
24613000380,심스재가노인복지센터,전라남도,여수시,학동,전라남도 여수시 시청로  34 501호 (학동),방문요양,,0,0,0,0,0,20260202
24613000381,믿음재가노인복지센터,전라남도,여수시,소호동,전라남도 여수시 소호4길  5-12 2층 (소호동),방문요양,,0,0,18,0,0,20260202
24613000384,여천고운정주간보호센터,전라남도,여수시,안산동,전라남도 여수시 심곡길  7 (안산동),주야간보호,,0,0,1,0,0,20260501
24615000008,순천린제노인복지센터,전라남도,순천시,인제동,전라남도 순천시 저전길  84 (인제동),방문요양·주야간보호,,0,0,45,3,1,20080530
24615000010,순천조례노인복지센터,전라남도,순천시,조례동,전라남도 순천시 신월큰길  41 (조례동),방문요양·주야간보호,,0,0,41,5,0,20080530
24615000060,실버사랑노인복지센터,전라남도,순천시,저전동,전라남도 순천시 저전길  58 2층 (저전동),방문요양,,0,0,106,2,0,20081015
24615000175,새순천노인복지센터,,,,전라남도 순천시 해룡면 조례못등길  78 (해룡면),방문요양·방문목욕,,0,0,81,3,0,20110311
24615000262,밝은생각노인복지센터,전라남도,순천시,조례동,전라남도 순천시 봉화2길  97 4층 (조례동),주야간보호,,0,0,4,3,0,20161229
24615000293,실버베이복지센터,전라남도,순천시,덕암동,전라남도 순천시 덕암2길  14 (덕암동),방문요양·방문목욕·주야간보호,,0,0,26,4,1,20180503
24615000294,보금자리재활노인복지센터,전라남도,순천시,가곡동,전라남도 순천시 망산2길  14 (가곡동),방문요양·방문목욕·주야간보호,,0,0,11,4,2,20180511
24615000295,벧엘재가노인복지센터,전라남도,순천시,별량면,전라남도 순천시 별량면 별량장길  10 (별량면),방문요양,,0,0,22,1,0,20180706
24615000309,해드림노인복지센터,전라남도,순천시,연향동,전라남도 순천시 원연향길  144-1 2층 (연향동),방문요양·방문목욕·주야간보호,,0,0,10,2,1,20181212
24615000333,은빛사랑채노인복지주식회사,전라남도,순천시,덕월동,전라남도 순천시 순천만길  15 (덕월동),방문요양·주야간보호,,1,0,8,1,1,20191119
24615000345,가곡재가노인복지센터,전라남도,순천시,가곡동,전라남도 순천시 고지1길  26 (가곡동),방문요양·주야간보호,,0,1,5,3,1,20200131
24615000348,순천행복노인복지센터,전라남도,순천시,매곡동,전라남도 순천시 북정2길  23 (매곡동),방문요양·방문목욕,,0,0,30,2,0,20200619
24615000349,한아름주야간보호센터,전라남도,순천시,조례동,"전라남도 순천시 장선배기길  27 1,2층 (조례동)",주야간보호,,0,0,12,3,1,20200619
24615000350,송광희망노인복지센터,전라남도,순천시,송광면,전라남도 순천시 송광면 쌍향수길  1343 2층 (송광면),방문요양,,0,0,42,1,0,20200805
24615000354,마음애노인복지센터,전라남도,순천시,연향동,전라남도 순천시 구암1길  8 1층 (연향동),주야간보호,,0,0,8,4,1,20200929
24615000357,덕암노인사랑복지센터,전라남도,순천시,덕암동,전라남도 순천시 이수1길  60 (덕암동),방문요양,,0,0,105,1,0,20210409
24615000358,순천다모아노인복지센터,전라남도,순천시,연향동,"전라남도 순천시 팔마3길  12 5, 6층 (연향동)",주야간보호,,0,0,5,2,1,20210422
24615000359,간호재가복지센터,전라남도,순천시,조곡동,전라남도 순천시 풍덕주택길  11 (조곡동),방문요양,,0,0,24,0,0,20210514
24615000361,서면주야간노인복지센터,전라남도,순천시,서면,전라남도 순천시 서면 배들이길  7 (서면),주야간보호,,0,0,4,1,0,20210514
24615000362,세빛재가노인복지센터,전라남도,순천시,연향동,전라남도 순천시 연향1로  13-1 2층 (연향동),방문요양·방문목욕,,0,0,92,1,0,20210514
24615000364,동행재가복지센터,전라남도,순천시,연향동,전라남도 순천시 덕연로  45 1층 (연향동),방문요양·주야간보호,,0,0,18,3,0,20210827
24615000365,에덴노인복지센터,전라남도,순천시,해룡면,전라남도 순천시 해룡면 신대로  49 3층 (해룡면),방문요양·방문목욕,,0,0,92,3,0,20210818
24615000366,다솜노인복지센터,전라남도,순천시,매곡동,전라남도 순천시 중앙로  146-1 3층 (매곡동),방문요양,,0,0,59,2,0,20211008
24615000367,라온노인복지센터,,,,전라남도 순천시 해룡면 조례못등길  97 2층 (해룡면),방문요양·방문목욕,,0,0,34,1,0,20211008
24615000369,우리들노인복지센터,전라남도,순천시,덕암동,전라남도 순천시 덕연로  16 (덕암동),방문요양·방문목욕·주야간보호,,0,0,0,0,0,20211020
24615000370,새가족재가노인복지센터,,,,전라남도 순천시 해룡면 조례못등길  100 (해룡면),방문요양·방문목욕,,0,0,54,0,0,20211119
24615000373,마륜노인복지센터,전라남도,순천시,남정동,전라남도 순천시 남산로  7-1 1층 (남정동),방문요양·방문목욕,,0,0,89,6,0,20220119
24615000374,사랑노인복지센터,,,,전라남도 순천시 해룡면 조례못등길  78 (해룡면),방문요양·방문목욕,,0,0,89,2,0,20220119
24615000377,감나무협동조합재가복지센터순천점,전라남도,순천시,생목동,전라남도 순천시 이수로  171-1 (생목동),방문요양·방문목욕,,0,0,78,3,0,20220228
24615000381,휴데이케어센터,전라남도,순천시,석현동,전라남도 순천시 석현길  70 (석현동),주야간보호,,0,0,6,2,0,20220506
24615000385,재단법인 전라남도사회서비스원 순천시 실버주야간보호센터,전라남도,순천시,용당동,전라남도 순천시 용당신흥길  58 (용당동),주야간보호·주야간보호내치매전담1실,,0,0,6,1,0,20220823
24615000386,한빛케어노인복지센터,전라남도,순천시,서면,전라남도 순천시 서면 죽평길  4 (서면),방문요양·방문목욕·주야간보호,,0,0,17,4,1,20220823
24615000387,연향꽃주야간케어센터,전라남도,순천시,연향동,전라남도 순천시 연향번영1길  5 (연향동),방문요양·방문목욕·주야간보호,,0,0,0,0,0,20220801
24615000388,예원방문요양센터,전라남도,순천시,석현동,"전라남도 순천시 석현북길  7 상가동1층102호 (석현동, 중흥아파트)",방문요양·방문목욕,,0,0,99,3,0,20221027
24615000391,정담주간보호센터,전라남도,순천시,가곡동,전라남도 순천시 가곡4길  42 (가곡동),주야간보호,,0,0,5,2,0,20221110
24615000392,맘모스노인복지센터,전라남도,순천시,가곡동,전라남도 순천시 중앙로  491-24 1동2호 (가곡동),방문요양·방문목욕,,0,0,51,2,0,20221110
24615000393,코끼리방문간호센터,전라남도,순천시,승주읍,전라남도 순천시 승주읍 평지길  5 (승주읍),방문간호,,0,0,0,0,1,20221109
24615000394,명품노인복지센터,전라남도,순천시,오천동,전라남도 순천시 순천만길  63 (오천동),주야간보호,,0,0,5,2,0,20221213
24615000396,정다운노인복지센터,전라남도,순천시,인월동,전라남도 순천시 순천만길  920 (인월동),주야간보호,,0,0,6,2,1,20221228
24615000397,봄날애재가노인복지센터,,,,전라남도 순천시 해룡면 조례못등길  124 2층 (해룡면),방문요양,,0,0,69,1,0,20230101
24615000400,새순천목욕센터,전라남도,순천시,동외동,"전라남도 순천시 환선로  1 (동외동, 지하 1층)",방문목욕,,0,0,4,0,0,20230217
24615000404,팔팔재가복지센터,전라남도,순천시,덕암동,전라남도 순천시 중앙초등아랫길  3 (덕암동),방문요양·방문목욕,,0,0,53,1,0,20230623
24615000406,하늘빛노인복지센터,전라남도,순천시,조례동,전라남도 순천시 장선배기길  89 상가동203호 (조례동),방문요양·방문목욕,,0,0,72,2,0,20230724
24615000407,섬기는노인복지센터,전라남도,순천시,생목동,전라남도 순천시 텃골길  16 (생목동),방문요양·방문목욕,,0,0,21,0,0,20230908
24615000410,더 행복한 복지센터,전라남도,순천시,서면,전라남도 순천시 서면 삼산로  299 2층 (서면),방문요양·방문목욕·주야간보호,,0,0,8,3,1,20231005
24615000411,품싹방문요양센터,전라남도,순천시,가곡동,전라남도 순천시 가곡길  9 2호 (가곡동),방문요양,,0,0,17,1,0,20231215
24615000412,한마음재가노인복지센터,,,,전라남도 순천시 해룡면 조례못등3길  3-5 (해룡면),방문요양·방문목욕,,0,0,21,1,0,20231103
24615000414,더나눔노인복지센터,전라남도,순천시,장천동,전라남도 순천시 중앙2길  26 (장천동),방문요양·방문목욕,,0,0,27,1,0,20231110
24615000415,꽃피는재가복지센터,전라남도,순천시,덕암동,전라남도 순천시 덕암새터길  83 2층 (덕암동),방문요양·방문목욕·방문간호,,0,0,20,0,2,20231229
24615000416,아리랑노인복지센터,전라남도,순천시,장천동,전라남도 순천시 장명로  9 1층 (장천동),방문요양·방문목욕,,0,0,88,2,0,20231229
24615000419,더편한데이케어,전라남도,순천시,가곡동,전라남도 순천시 원가곡길  4-37 (가곡동),방문요양·주야간보호·주야간보호내치매전담1실,,0,0,5,4,0,20240326
24615000422,순천효재가노인복지센터,전라남도,순천시,덕월동,전라남도 순천시 양율길  9-11 (덕월동),방문요양·주야간보호,,1,0,16,2,2,20240517
24615000423,미래재가노인복지센터,전라남도,순천시,조례동,"전라남도 순천시 장승길  40 상가동202-3호 (조례동, 조례동 현대아파트)",방문요양,,0,0,0,0,0,20240701
24615000424,기쁘미노인복지센터,전라남도,순천시,가곡동,전라남도 순천시 원가곡길  148 (가곡동),방문요양·방문목욕,,0,0,60,0,0,20240701
24615000426,신대온정주간보호,,,,전라남도 순천시 해룡면 봉서길  77 (해룡면),주야간보호,,0,0,5,2,0,20240801
24615000427,창성노인복지센터,전라남도,순천시,연향동,"전라남도 순천시 연향번영길  94 상가동204호 (연향동, 연향동 동성아파트)",방문요양,,0,0,2,0,0,20240801
24615000428,신우의료기,전라남도,순천시,서면,전라남도 순천시 서면 죽평아랫돔길  43 (서면),복지용구,,0,0,0,0,0,20241017
24615000429,사랑모아노인복지센터,전라남도,순천시,서면,전라남도 순천시 서면 강청윗길  5 (서면),방문요양·방문목욕,,0,0,22,0,0,20241017
24615000430,비타민노인복지센터,전라남도,순천시,장천동,전라남도 순천시 중앙로  58 1층 (장천동),방문요양,,0,0,22,1,0,20241120
