시설유형,시설종류,시설명,시도,시군구,주소
노인여가복지시설,노인교실,(사)대한노인회서귀포시지회부설 표선노인대학,제주특별자치도,서귀포시,제주특별자치도 서귀포시 표선면 표선중앙로 21
노인여가복지시설,노인교실,(사)대한노인회서귀포시지회부설서귀포시노인대학원,제주특별자치도,서귀포시,제주특별자치도 서귀포시 태평로537번길 40-9 (동홍동)
노인여가복지시설,노인교실,(사)대한노인회서대문구지회부설노인교실,서울특별시,서대문구,"서울특별시 서대문구 통일로 484 (홍제동, 공유캠퍼스 2층)"
노인여가복지시설,노인교실,(사)대한노인회성북구지회부설 노인교실,서울특별시,성북구,서울특별시 성북구 안암로 79 (안암동5가)
노인여가복지시설,노인교실,(사)대한노인회송파구지회부설 송파노인교실,서울특별시,송파구,서울특별시 송파구 송파대로38길 1 (송파동)
노인여가복지시설,노인교실,(사)대한노인회수영구지회 부설늘푸른노인대학,부산광역시,수영구,부산광역시 수영구 수영로540번길 8 (광안동)
노인여가복지시설,노인교실,(사)대한노인회안동시지회 부설 노인대학,경상북도,안동시,경상북도 안동시 축제장1길 49 (운흥동)
노인여가복지시설,노인교실,(사)대한노인회영도구지회부설노인대학,부산광역시,영도구,부산광역시 영도구 절영로29번길 14 (대교동2가)
노인여가복지시설,노인교실,(사)대한노인회영월군지회 부설 노인대학,강원특별자치도,영월군,강원특별자치도 영월군 영월읍 중리1길 6
노인여가복지시설,노인교실,(사)대한노인회예천군지회부설 예천노인대학,경상북도,예천군,경상북도 예천군 예천읍 충효로 209-22
노인여가복지시설,노인교실,(사)대한노인회인천광역시서구지회,인천광역시,서구,인천광역시 서구 신석로121번길 10 (석남동)
노인여가복지시설,노인교실,(사)대한노인회인천남동구지회 부설노인대학,인천광역시,남동구,"인천광역시 남동구 소래로 610, 2층 (수산동)"
노인여가복지시설,노인교실,(사)대한노인회일산동구지회,경기도,고양시 일산동구,경기도 고양시 일산동구 장항동
노인여가복지시설,노인교실,(사)대한노인회중구지회부설노인교실,서울특별시,중구,서울특별시 중구 청구로 121 (신당동)
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 남양노인대학,경기도,화성시 만세구,경기도 화성시 만세구 남양읍 남양성지로 107
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 동탄노인대학,경기도,화성시 동탄구,"경기도 화성시 동탄구 여울로2길 33 (능동, 화성시나래울종합복지관)"
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 무봉노인대학,경기도,화성시 동탄구,"경기도 화성시 동탄구 동탄대로8길 36 (산척동, 화성시동탄노인복지관)"
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 발안노인대학,경기도,화성시 만세구,경기도 화성시 만세구 향남읍 발안만세길 51
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 병점노인대학,경기도,화성시 병점구,경기도 화성시 병점구 병점3로 23 (진안동)
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 봉담노인대학,경기도,화성시 효행구,경기도 화성시 효행구 봉담읍 샘마을1길 8-4 (봉담시립도서관)
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 비봉노인대학,경기도,화성시 효행구,경기도 화성시 효행구 비봉면 비봉로 114 (서화성농협)
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 송산노인대학,경기도,화성시 만세구,경기도 화성시 만세구 송산면 사강로 183-1 (사강새마을금고)
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 조암노인대학,경기도,화성시 만세구,경기도 화성시 만세구 우정읍 3.1만세로 24 (조암농협 2층)
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 칠보노인대학,경기도,화성시 효행구,경기도 화성시 효행구 매송면 매송로 43 (매송면행정복지센터)
노인여가복지시설,노인교실,(사)대한노인회화성시지회 부설 화산노인대학,경기도,화성시 병점구,"경기도 화성시 병점구 화산중앙로 16-1 (안녕동, 화성시근로자종합복지관)"
장애인직업재활시설,장애인 보호작업장,(사)대한안마사협회부설안마수련원,서울특별시,서초구,서울특별시 서초구 서초중앙로22길 105 (서초동)
장애인직업재활시설,장애인 보호작업장,(사)대한안마사협회부설안마수련원,부산광역시,중구,부산광역시 중구 대창동2가 31-7
아동복지시설,지역아동센터,(사)목포YWCA꿈나무지역아동센터,전라남도,목포시,전라남도 목포시 영산로 139 (호남동)
성매매피해지원시설,자활지원센터,(사)에코젠더 부설 굳셈굿샘,경기도,파주시,"경기도 파주시 문화로 57 (금촌동, 3층)"
성매매피해지원시설,일반지원시설,(사)에코젠더 부설 나루,경기도,파주시,"경기도 파주시 금촌동 789번지 11호 한솔주택 401호,호 402호, 403호, 503호"
성매매피해지원시설,일반지원시설,(사)여성인권지원센터 살림 부설 살림그룹홈,부산광역시,금정구,부산광역시 금정구 금강로611번길 38 (남산동)
성매매피해지원시설,일반지원시설,(사)여성인권지원센터 살림 부설 살림쉼터,부산광역시,금정구,"부산광역시 금정구 금강로 608 (남산동, 금강빌2)"
노인여가복지시설,노인교실,(사)영천향토문화교육대학 부설 노인대학,경상북도,영천시,경상북도 영천시 최무선로 214 (성내동)
성매매피해지원시설,일반지원시설,(사)제주여성인권연대부설 여성의쉼터 불턱,제주특별자치도,제주시,제주특별자치도 제주시 용문로18길 제주특별자치도 제주시 용문로18길
장애인지역사회재활시설,장애인주간이용시설,(사)제주특별자치도지적발달장애인복지협회 서귀포시지부 부설 서귀포주간보호센터,제주특별자치도,서귀포시,제주특별자치도 서귀포시 남원읍 위미상원북로24번길 104
장애인거주시설,장애인공동생활가정,(사)제주특별자치도지적발달장애인복지협회 서귀포시지부 부설덕유원공동생활가정,제주특별자치도,서귀포시,"제주특별자치도 서귀포시 예래로 119-3, 가동 401호 (상예동)"
장애인거주시설,장애인공동생활가정,(사)제주특별자치도지적발달장애인복지협회서귀포시지부 부설 행복둥지 여자공동생활가정,제주특별자치도,서귀포시,"제주특별자치도 서귀포시 예래로 119-4, 나동 401호 (상예동)"
장애인지역사회재활시설,장애인주간이용시설,(사)좋은복지 주간보호센터,충청남도,아산시,충청남도 아산시 배방읍 북수로
노숙인복지시설,노숙인급식시설,(사)참좋은친구들,서울특별시,중구,서울특별시 중구 청파로 427 (중림동)
아동복지시설,지역아동센터,(사)청소년문화공동체부설 지역아동센터,전라남도,목포시,전라남도 목포시 하당로 88 (상동)
장애인지역사회재활시설,수어통역센터,(사)한국농아인협회 충남협회 부설 충청남도수어통역센터지원본부,충청남도,천안시 서북구,"충청남도 천안시 서북구 성정공원1길 9-7 (성정동, 리전프라자 2층)"
노인여가복지시설,노인교실,(사)한국복지정보통신협의회 광주전남지부,광주광역시,동구,광주광역시 동구 제봉로 166 (장동)
노인여가복지시설,노인교실,(사)한국복지정보통신협의회 원주지회,강원특별자치도,원주시,강원특별자치도 원주시 가매기길 17-2 (태장동)
장애인지역사회재활시설,장애인재활치료시설,(사)한국운동재활복지협회 발달재활센터,대구광역시,동구,"대구광역시 동구 안심로22길 40, 4층 403호 (율하동)"
장애인직업재활시설,장애인 보호작업장,(사)한국장애인협회생산시설,경기도,화성시 만세구,"경기도 화성시 만세구 양감면 정문송산로93번길 10-1, A, B동"
노인여가복지시설,노인복지관,(사회복지법인 밝은미래복지재단)함월노인복지관,울산광역시,중구,"울산광역시 중구 종가3길 15 (유곡동, 함월노인복지관)"
아동복지시설,지역아동센터,(상남사회적협동조합)상남지역아동센터,경상남도,창원시 성산구,"경상남도 창원시 성산구 동산로72번길 16, 2층 204호 (상남동, 명성상가)"
아동복지시설,지역아동센터,(시립)도담 상대원동 지역아동센터,경기도,성남시 중원구,경기도 성남시 중원구 금상로 134 (상대원동)
아동복지시설,지역아동센터,(시립)도담분당동지역아동센터,경기도,성남시 분당구,경기도 성남시 분당구 장안로62번길 38 (분당동)
아동복지시설,지역아동센터,(시립)도담성남동지역아동센터,경기도,성남시 중원구,경기도 성남시 중원구 원터로69번길 10 (성남동)
아동복지시설,지역아동센터,(시립)도담양지동지역아동센터,경기도,성남시 수정구,"경기도 성남시 수정구 산성대로 483, 5층 (양지동)"
아동복지시설,지역아동센터,(시립)도담태평동 지역아동센터,경기도,성남시 수정구,"경기도 성남시 수정구 남문로 134, 4층 (태평동, 태평4동 종합복지시설)"
노인여가복지시설,노인복지관,(재)광주광역시사회서비스원 효령노인복지타운,광주광역시,북구,광주광역시 북구 하서로 950 (효령동)
장애인거주시설,중증장애인거주시설,(재)음성꽃동네심신장애인요양시설,충청북도,음성군,충청북도 음성군 음성읍 꽃동네길 133
장애인지역사회재활시설,장애인재활치료시설,(주)도담언어발달,전북특별자치도,완주군,전북특별자치도 완주군 삼례읍 삼봉2로 12 (405-406)
노인주거복지시설,노인공동생활가정,(효천)성바오로집,서울특별시,강남구,서울특별시 강남구 논현로18길 18-18 (개포동)
장애인거주시설,장애유형별거주시설,1004 보금자리,전라남도,신안군,전라남도 신안군 압해읍 구항길 92-76
노인여가복지시설,노인교실,100세 건강플러스,서울특별시,강북구,"서울특별시 강북구 오현로 208 (번동, 번동주공3단지아파트 309동 주민복지관-2)"
아동복지시설,지역아동센터,1318 Happy Zone 푸른누리,전라남도,강진군,전라남도 강진군 강진읍 삼일로 50
아동복지시설,지역아동센터,1318 Happy Zone 하늘세상지역아동센터,대전광역시,중구,"대전광역시 중구 대둔산로 310-22, 2층 (사정동)"
아동복지시설,지역아동센터,1318 꿈나무 지역아동센터,경상북도,안동시,"경상북도 안동시 번영1길 7, 2층 (천리동)"
아동복지시설,지역아동센터,1318 해피존 완도빙그레 지역아동센터,전라남도,완도군,전라남도 완도군 완도읍 해변공원로91번길 24
아동복지시설,지역아동센터,1318 행복지대 지역아동센터,경상남도,창원시 진해구,"경상남도 창원시 진해구 풍호로42번길 13, 2층 (풍호동, 상가)"
아동복지시설,지역아동센터,1318HappyZone그루터기,대전광역시,유성구,"대전광역시 유성구 월드컵대로300번길 7-16, 1층 (상대동)"
아동복지시설,지역아동센터,1318HappyZone인디고아이들,광주광역시,남구,광주광역시 남구 봉선중길 6 (봉선동)
아동복지시설,지역아동센터,1318HappyZone파란바다,강원특별자치도,강릉시,강원특별자치도 강릉시 주문진읍 연주로 363
아동복지시설,지역아동센터,1318HappyZone행복스케치지역아동센터,전북특별자치도,군산시,"전북특별자치도 군산시 해망로 407, 2층 (해망동)"
아동복지시설,지역아동센터,1318미래세대지역아동센터,부산광역시,북구,부산광역시 북구 만덕대로65번길 63 (덕천동)
아동복지시설,지역아동센터,1318비젼지역아동센터,전라남도,담양군,전라남도 담양군 창평면 의병로 154-1
아동복지시설,지역아동센터,1318해피존꿈앤꾼지역아동센터,부산광역시,해운대구,"부산광역시 해운대구 신반송로 138-2, 302호 (반송동, 대성빌라)"
아동복지시설,지역아동센터,1318해피존디딤돌지역아동센터,전북특별자치도,장수군,"전북특별자치도 장수군 장수읍 장천로 220, 2층"
아동복지시설,지역아동센터,1318희망지기지역아동센터,광주광역시,북구,"광주광역시 북구 향토문화로 26, 2층 (중흥동)"
장애인지역사회재활시설,장애인재활치료시설,153발달심리센터,광주광역시,북구,"광주광역시 북구 첨단연신로91번길 6, 502 (신용동)"
장애인지역사회재활시설,장애인주간이용시설,153센터,대전광역시,동구,"대전광역시 동구 홍도로33번길 55, 101호 (홍도동)"
장애인거주시설,장애인공동생활가정,21더숨,전북특별자치도,군산시,"전북특별자치도 군산시 백토로 93 (문화동, 삼성아파트)"
노숙인복지시설,노숙인자활시설,24시간게스트하우스,서울특별시,성동구,서울특별시 성동구 가람길 125 (송정동)
장애인거주시설,장애인단기거주시설,365돌봄센터,충청북도,청주시 상당구,"충청북도 청주시 상당구 낭성면 산성로 926, 101호"
아동복지시설,지역아동센터,365드림지역아동센터,경기도,양주시,경기도 양주시 광적면 광적로 85-21
장애인지역사회재활시설,장애인주간이용시설,40+금곡행복쉼터 주간보호센터,서울특별시,강서구,"서울특별시 강서구 방화대로45길 69, 6층 (방화동)"
아동복지시설,지역아동센터,4성스쿨 지역아동센터,서울특별시,관악구,"서울특별시 관악구 남부순환로 1978-1, 1층 (봉천동)"
