시설유형,시설종류,시설명,시도,시군구,주소
정신건강기관,기초정신건강복지센터,국립나주병원,전라남도,나주시,전라남도 나주시 건재로 211 1층
정신건강기관,기초정신건강복지센터,국립나주병원,전라남도,장흥군,전라남도 장흥군 장흥읍 동교1길 13
정신건강기관,중독관리통합지원센터,국립정신건강센터,서울특별시,강북구,서울특별시 강북구 삼양로 335-1 2층
정신건강기관,기초정신건강복지센터,국립중앙의료원,서울특별시,강동구,"서울특별시 강동구 성내로 45, 1층"
정신건강기관,기초정신건강복지센터,국립춘천병원,강원도,홍천군,강원도 홍천군 홍천읍 신장대로5 홍천군건강증진센터 2층
정신건강기관,기초정신건강복지센터,국민건강보험공단 일산병원,경기도,고양시 덕양구,경기도 고양시 덕양구 고양시청로 13-6 현대빌딩 2층
정신건강기관,중독관리통합지원센터,군산의료원,전라북도,군산시,전라북도 군산시 백마길16
정신건강기관,정신요양시설,귀일정신요양원,광주광역시,남구,광주광역시 남구 용대로 74번길 21
정신건강기관,정신재활시설,그라따,서울특별시,도봉구,서울특별시 도봉구 도봉로 181 가길6 1층
정신건강기관,정신재활시설,그루터기,제주특별자치도,제주시,제주특별자치도 제주시 원당북로65 
정신건강기관,정신요양시설,그리스도요양원,부산광역시,서구,부산광역시 서구 옥천로 130번길 40
정신건강기관,정신재활시설,그린나래,경상북도,상주시,경상북도 상주시 만산8길 61
정신건강기관,정신재활시설,그린홈,서울특별시,중랑구,"서울특별시 중랑구 동일로 92길 39-21, 2층"
정신건강기관,중독관리통합지원센터,글로리병원,인천광역시,부평구,인천광역시 부평구 마장로 410번길 5 청천2동주민센터 3층
정신건강기관,정신재활시설,금촌혜민의집,경기도,파주시,"경기도 파주시 조리읍 송비말길 22, 성원아파트 102동 703호"
정신건강기관,정신요양시설,기독성심원,충청남도,천안시 동남구,충청남도 천안시 동남구 성남면 성심원길 124
정신건강기관,정신재활시설,기쁜우리사회 복귀시설,부산광역시,영도구,부산광역시 영도구 함지로 33-10
정신건강기관,정신재활시설,기쁨해,경기도,고양시 덕양구,경기도 고양시 덕양구 고양대로 1395번길 76 3층
정신건강기관,정신재활시설,길벗,경기도,화성시,"경기도 화성시 병점로 17-7, 201호(진안동)"
정신건강기관,정신재활시설,길벗둥지,서울특별시,동대문구,"서울특별시 동대문구 서울시립대로 18길 36, 1층"
정신건강기관,광역정신건강복지센터,길병원,인천광역시,남동구,인천광역시 남동구 남동대로 774번길 24
정신건강기관,정신재활시설,길정신건강센터,제주특별자치도,제주시,제주특별자치도 제주시 한림읍 한림뱅디길 88-17
정신건강기관,기초정신건강복지센터,길정의료재단 대남병원,부산광역시,사상구,"부산광역시 사상구 가야대로 196번길 51, 3층 다누림센터"
정신건강기관,기초정신건강복지센터,김천시 정신건강복지센터,경상북도,김천시,경상북도 김천시 체육공원길 21 3층
정신건강기관,기초정신건강복지센터,김포한누리병원,인천광역시,강화군,인천광역시 강화군 강화읍 충렬사로 26-1
정신건강기관,정신요양시설,꽃동네 정신요양원,충청북도,음성군,충청북도 음성군 맹동면 꽃동네길 22
정신건강기관,정신재활시설,꽃동네치료공동체,세종특별자치시,부강면,세종특별자치시 부강면 노호등곡1로 237번지
정신건강기관,정신재활시설,꽃피는집,대전광역시,중구,대전광역시 중구 테미로 8(대흥동)
정신건강기관,정신재활시설,꿈꾸는달팽이,서울특별시,구로구,"서울특별시 구로구 디지털로 26길 110, 동일테크노타운 2차 302호"
정신건강기관,정신재활시설,꿈꾸는집,서울특별시,관악구,"서울특별시 관악구 당곡6길 65, 201호"
정신건강기관,정신재활시설,꿈의둥지,인천광역시,미추홀구,"인천광역시 미추홀구 소성로 318번길 18-16, 현빌리지 301호,302호"
정신건강기관,정신재활시설,꿈이있는사람들,대구광역시,달성군,대구광역시 달성군 화원읍 비슬로 523길 3-26
정신건강기관,정신재활시설,꿈이있는집,전라북도,전주시 덕진구,전라북도 전주시 덕진구 아중1길 23-3 퓨처빌B 402호
정신건강기관,정신재활시설,꿈터,경기도,성남시 분당구,"경기도 성남시 분당구 느티로 51번길16-9, 1층"
정신건강기관,정신재활시설,낑알이공동체,경상북도,영천시,경상북도 영천시 교촌동서길14
정신건강기관,정신재활시설,낑알이공동체 2호,경상북도,영천시,경상북도 영천시 교촌동서길14
정신건강기관,정신재활시설,낑알이공동체 3호,경상북도,영천시,경상북도 영천시 쌍계길 104
정신건강기관,정신재활시설,나눔터,서울특별시,성북구,"서울특별시 성북구 석관동 133-44, 태영빌딩 501호"
정신건강기관,정신재활시설,나무,경기도,평택시,"경기도 평택시 평택 4로 39, 6층"
정신건강기관,정신재활시설,나비의꿈,충청남도,천안시 서북구,충청남도 천안시 서북구 두정중 11길 26. 5층 마천루빌딩
정신건강기관,중독관리통합지원센터,나사렛대학교 산학협력단,충청남도,천안시 동남구,충청남도 천안시 동남구 버들로 40 1층
정신건강기관,정신재활시설,남동정신재활시설 그루터기,인천광역시,남동구,인천광역시 남동구 담방서로 23번길 17
정신건강기관,정신재활시설,남양집,경기도,화성시,"경기도 화성시 동탄면 금곡로 68-6, 101호"
정신건강기관,기초정신건강복지센터,남원시 정신건강복지센터,전라북도,남원시,전라북도 남원시 동문로 42-1(남원농협 동문지점 2층)
정신건강기관,정신재활시설,남자담쟁이,경기도,성남시 중원구,"경기도 성남시 중원구 자혜로 8번길 59-5호, 1층"
정신건강기관,기초정신건강복지센터,남해군 정신건강복지센터,경상남도,남해군,경상남도 남해군 남해읍 선소로 6
정신건강기관,정신재활시설,내동화세상,서울특별시,도봉구,서울특별시 도봉구 도봉산 3길 17-16
정신건강기관,정신재활시설,내마음까페,충청남도,서산시,"충청남도 서산시 지곡면 충의로 762-78, 늘푸른오스카빌 102동 1005호"
정신건강기관,정신재활시설,네잎클로버,경기도,수원시 팔달구,경기도 수원시 팔달구 월드컵로 321번길34-20 나동 2층 301호
정신건강기관,기초정신건강복지센터,노원구 정신건강복지센터,서울특별시,노원구,"서울특별시 노원구 노해로 455, 인산빌딩 5층"
정신건강기관,정신재활시설,노원아이존,서울특별시,노원구,"서울특별시 노원구 한글비석로 326, 3층"
정신건강기관,정신재활시설,노원희망공간이룸,서울특별시,노원구,"서울특별시 노원구 한글비석로 422, 2층(상계동)"
정신건강기관,기초정신건강복지센터,노정신건강의학과의원,서울특별시,마포구,서울특별시 마포구 성산로4길 15 3층
정신건강기관,기초정신건강복지센터,논산시 정신건강복지센터,충청남도,논산시,충청남도 논산시 논산대로382
정신건강기관,정신요양시설,논산정신요양원,충청남도,논산시,충청남도 논산시 상월면 월오1길 54
정신건강기관,정신재활시설,누리봄,서울특별시,광진구,서울특별시 광진구 용마산로 25길 10
정신건강기관,정신재활시설,늘푸른집,서울특별시,도봉구,서울특별시 도봉구 시루봉로 295-3
정신건강기관,정신재활시설,늘푸른집,세종특별자치시,연서면,세종특별자치시 연서면 효교로 135-22
정신건강기관,정신재활시설,늘푸름,경기도,오산시,경기도 오산시 은여울로 59
