기관마다 어느 경로로 공고가 들어오는지 (2026-09-25)
「없음」 이 우리가 놓치는 곳입니다.

경로는 세 가지를 합쳐 봤습니다 —
  알리오·클린아이  그 API 의 기관 목록에 이름이 있는지 (알리오 353곳 · 클린아이 176곳)
  홈페이지        HOSP_SITES 에 켜져 있는지 (317곳 중 켜진 270곳)
  그 밖          실제로 그 기관 공고가 들어온 적이 있는지

경로	갈래	기관명
★ 없음	보건기관	나주시보건소
★ 없음	보건기관	나주시보건소노안지소
★ 없음	보건기관	나주시보건소다시지소
★ 없음	보건기관	나주시보건소동강지소
★ 없음	보건기관	나주시보건소반남지소
★ 없음	보건기관	나주시보건소산포지소
★ 없음	보건기관	나주시보건소세지지소
★ 없음	보건기관	낙동면보건지소
★ 없음	보건기관	낙안보건지소
★ 없음	보건기관	남동구보건소
★ 없음	보건기관	남면보건지소
★ 없음	보건기관	남부통합보건지소
★ 없음	보건기관	남산보건지소
★ 없음	보건기관	남양주 풍양보건소
★ 없음	보건기관	남양주보건소
★ 없음	보건기관	남원시보건소
★ 없음	보건기관	남해군보건소
★ 없음	보건기관	내서면보건지소
★ 없음	보건기관	노원구보건소
★ 없음	보건기관	노원구보건지소
★ 없음	보건기관	논산시보건소
★ 없음	보건기관	농암보건지소
★ 없음	보건기관	다압보건지소
★ 없음	보건기관	단북보건지소
★ 없음	보건기관	단양군보건의료원
★ 없음	보건기관	달성군보건소
★ 없음	보건기관	담양군보건소
★ 없음	보건기관	대강면보건지소
★ 없음	보건기관	대구광역시남구보건소
★ 없음	보건기관	대구광역시달서구보건소
★ 없음	보건기관	대구광역시북구보건소
★ 없음	보건기관	대구광역시서구보건소
★ 없음	보건기관	대구광역시수성구보건소
★ 없음	보건기관	대구광역시중구보건소
★ 없음	보건기관	대산면보건지소
★ 없음	보건기관	대서보건지소
★ 없음	보건기관	대소보건지소
★ 없음	보건기관	대전광역시대덕구보건소
★ 없음	보건기관	대전광역시동구보건소
★ 없음	보건기관	대청보건지소
★ 없음	보건기관	덕과면보건지소
★ 없음	보건기관	덕적보건지소
★ 없음	보건기관	도계읍보건지소
★ 없음	보건기관	도봉구보건소
★ 없음	보건기관	도초면보건지소
★ 없음	보건기관	동계보건지소
★ 없음	보건기관	동구보건소
★ 없음	보건기관	동대문구보건소
★ 없음	보건기관	동두천시보건소
★ 없음	보건기관	동복보건지소
★ 없음	보건기관	동부건강센터
★ 없음	보건기관	동부도시보건지소
★ 없음	보건기관	동부보건소
★ 없음	보건기관	동부통합보건지소
★ 없음	보건기관	동해시보건소
★ 없음	보건기관	득량보건지소
★ 없음	보건기관	마포구보건소
★ 없음	보건기관	만세구보건소
★ 없음	보건기관	목포시보건소
★ 없음	보건기관	몽탄보건지소
★ 없음	보건기관	무안군보건소
★ 없음	보건기관	무주군보건의료원
★ 없음	보건기관	무주군안성보건지소
★ 없음	보건기관	무주군적상보건지소
★ 없음	보건기관	문경보건지소
★ 없음	보건기관	문경시보건소
★ 없음	보건기관	문내면보건지소
★ 없음	보건기관	미추홀구보건소
★ 없음	보건기관	밀양시보건소
★ 없음	보건기관	백령보건지소
★ 없음	보건기관	백학보건지소
★ 없음	보건기관	벌곡보건지소
★ 없음	보건기관	보령시보건소
★ 없음	보건기관	보성군보건소
★ 없음	보건기관	보은군보건소
★ 없음	보건기관	봉화군보건소
★ 없음	보건기관	부림면보건지소
★ 없음	보건기관	부산 연제구보건소
★ 없음	보건기관	부산광역시 북구 덕천지소
★ 없음	보건기관	부산광역시 사상구보건소
★ 없음	보건기관	부산광역시강서구가락보건지소
★ 없음	보건기관	부산광역시강서구보건소
★ 없음	보건기관	부산광역시금정구보건소
★ 없음	보건기관	부산광역시기장군보건소
★ 없음	보건기관	부산광역시남구보건소
★ 없음	보건기관	부산광역시동래구보건소
★ 없음	보건기관	부산광역시영도구보건소
★ 없음	보건기관	부산광역시중구보건소
★ 없음	보건기관	부산광역시해운대구보건소
★ 없음	보건기관	부산진구보건소
★ 없음	보건기관	부안군보건소
★ 없음	보건기관	부여군보건소
★ 없음	보건기관	부여군보건소세도지소
★ 없음	보건기관	부여군보건소임천지소
★ 없음	보건기관	부여군보건소홍산지소
★ 없음	보건기관	부천시보건소
★ 없음	보건기관	부평구 청천보건지소
★ 없음	보건기관	부평구보건소
★ 없음	보건기관	부흥보건지소
★ 없음	보건기관	북도보건지소
★ 없음	보건기관	북부보건지소
★ 없음	보건기관	불광보건지소
★ 없음	보건기관	불정보건지소
★ 없음	보건기관	사곡보건지소
★ 없음	보건기관	사량면보건지소
★ 없음	보건기관	사매면보건지소
★ 없음	보건기관	사천시보건소
★ 없음	보건기관	사하구보건소
★ 없음	보건기관	산동면보건지소
★ 없음	보건기관	산청군보건의료원
★ 없음	보건기관	삼산보건지소
★ 없음	보건기관	삼성 보건지소
★ 없음	보건기관	상동보건지소
★ 없음	보건기관	상록수보건소
★ 없음	보건기관	상암보건지소
★ 없음	보건기관	상주시보건소
★ 없음	보건기관	생림보건지소
★ 없음	보건기관	서구보건소
★ 없음	보건기관	서귀포보건소
★ 없음	보건기관	서귀포시동부보건소
★ 없음	보건기관	서귀포시서부보건소
★ 없음	보건기관	서대문구보건소
★ 없음	보건기관	서부보건지소
★ 없음	보건기관	서산시보건소
★ 없음	보건기관	서울특별시 중구보건소
★ 없음	보건기관	서울특별시강서구보건소
★ 없음	보건기관	서울특별시금천구보건소
★ 없음	보건기관	서울특별시동작구보건소
★ 없음	보건기관	서울특별시성동구보건소
★ 없음	보건기관	서울특별시송파구보건소
★ 없음	보건기관	서울특별시중랑구보건소
★ 없음	보건기관	서천군보건소
★ 없음	보건기관	서초구방배보건지소
★ 없음	보건기관	서초구보건소
★ 없음	보건기관	서호면보건지소
★ 없음	보건기관	석포면보건지소
★ 없음	보건기관	성남시분당구보건소
★ 없음	보건기관	성남시중원구보건소
★ 없음	보건기관	성북구보건소
★ 없음	보건기관	성산보건지소
★ 없음	보건기관	성주군가천면보건지소
★ 없음	보건기관	성주군보건소
★ 없음	보건기관	성주군초전면보건지소
★ 없음	보건기관	세종특별자치시보건소
★ 없음	보건기관	소사보건소
★ 없음	보건기관	속초시보건소
★ 없음	보건기관	송광보건지소
★ 없음	보건기관	송동면보건지소
★ 없음	보건기관	송라면보건지소
★ 없음	보건기관	송산면보건지소
★ 없음	보건기관	송파구보건지소
★ 없음	보건기관	송학보건지소
★ 없음	보건기관	수영구보건소
★ 없음	보건기관	수원시권선구보건소
★ 없음	보건기관	수원시팔달구보건소
★ 없음	보건기관	수정구보건소
★ 없음	보건기관	수지구보건소
★ 없음	보건기관	순창군보건의료원
★ 없음	보건기관	순천시보건소
★ 없음	보건기관	숭의보건지소
★ 없음	보건기관	시흥시보건소
★ 없음	보건기관	시흥시보건소정왕보건지소
★ 없음	보건기관	신광면보건지소
★ 없음	보건기관	신안군보건소
★ 없음	보건기관	신의면보건지소
★ 없음	보건기관	신평보건지소
★ 없음	보건기관	아산시보건소
★ 없음	보건기관	아영면보건지소
★ 없음	보건기관	안덕보건지소
★ 없음	보건기관	안동시보건소
★ 없음	보건기관	안산시단원보건소
★ 없음	보건기관	안성시보건소
★ 없음	보건기관	안양시 동안구보건소
★ 없음	보건기관	안양시 만안구보건소
★ 없음	보건기관	안중보건지소
★ 없음	보건기관	안평보건지소
★ 없음	보건기관	암태면보건지소
★ 없음	보건기관	양구군보건소
★ 없음	보건기관	양산시보건소
★ 없음	보건기관	양양군보건소
★ 없음	보건기관	양주시보건소
★ 없음	보건기관	양천구보건소
★ 없음	보건기관	엄사면보건지소
★ 없음	보건기관	여수시보건소
★ 없음	보건기관	여주시보건소
★ 없음	보건기관	연도보건지소
★ 없음	보건기관	연수구보건소
★ 없음	보건기관	연천군보건의료원
★ 없음	보건기관	연평보건지소
★ 없음	보건기관	연풍보건지소
★ 없음	보건기관	영광군보건소
★ 없음	보건기관	영덕군보건소
★ 없음	보건기관	영등포구보건소
★ 없음	보건기관	영암군보건소
★ 없음	보건기관	영양군보건소
★ 없음	보건기관	영월군보건소
★ 없음	보건기관	영주시보건소
★ 없음	보건기관	영천시보건소
★ 없음	보건기관	영천시청통면보건지소
★ 없음	보건기관	영천통합보건지소
★ 없음	보건기관	영통구보건소
★ 없음	보건기관	영흥보건지소
★ 없음	보건기관	예산군보건소
★ 없음	보건기관	예산군봉산보건지소
★ 없음	보건기관	예산군신양보건지소
★ 없음	보건기관	예천군보건소
